month,account,commits
2023-01,__combined__,8
2023-03,__combined__,1
2023-05,__combined__,12
2023-07,__combined__,1
2023-08,__combined__,1
2023-09,__combined__,6
2023-10,__combined__,1
2023-12,__combined__,6
2024-01,__combined__,16
2024-02,__combined__,29
2024-04,__combined__,8
2024-06,__combined__,2
2024-07,__combined__,1
2024-10,__combined__,5
2024-12,__combined__,23
2025-03,__combined__,10
2025-04,__combined__,7
2025-05,__combined__,49
2025-06,__combined__,2
2025-07,__combined__,1
2025-08,__combined__,7
2025-10,__combined__,10
2025-11,__combined__,50
2025-12,__combined__,20
2026-01,__combined__,68
2026-02,__combined__,80
2026-04,__combined__,2
2023-01,AhmedAbubaker98,8
2023-03,AhmedAbubaker98,1
2023-05,AhmedAbubaker98,12
2023-07,AhmedAbubaker98,1
2023-08,AhmedAbubaker98,1
2023-09,AhmedAbubaker98,6
2023-10,AhmedAbubaker98,1
2023-12,AhmedAbubaker98,6
2024-01,AhmedAbubaker98,16
2024-02,AhmedAbubaker98,29
2024-04,AhmedAbubaker98,8
2024-06,AhmedAbubaker98,2
2024-07,AhmedAbubaker98,1
2024-10,AhmedAbubaker98,5
2024-12,AhmedAbubaker98,23
2025-03,AhmedAbubaker98,10
2025-04,AhmedAbubaker98,7
2025-05,AhmedAbubaker98,49
2025-06,AhmedAbubaker98,2
2025-07,AhmedAbubaker98,1
2025-08,AhmedAbubaker98,4
2025-10,AhmedAbubaker98,3
2026-01,AhmedAbubaker98,34
2026-02,AhmedAbubaker98,3
2026-04,AhmedAbubaker98,2
2025-08,AhmedElagibMarkaba,3
2025-10,AhmedElagibMarkaba,7
2025-11,AhmedElagibMarkaba,50
2025-12,AhmedElagibMarkaba,20
2026-01,AhmedElagibMarkaba,34
2026-02,AhmedElagibMarkaba,77
